Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779873358,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779873359,10,,Aggregated,0.000000,0.000000,85,360,390,390,400,410,420,420,420,420,420,40,0,83,197.62495617496825,57.82929199995124,420.99312500067754,431.75
1779873360,20,,Aggregated,0.000000,0.000000,340,390,400,420,910,940,960,970,970,970,970,51,0,340,336.46150156881265,57.82929199995124,970.0797910008987,430.88235294117646
1779873361,30,,Aggregated,0.000000,0.000000,240,250,350,390,860,920,960,970,970,970,970,97,0,240,273.2736323091886,57.82929199995124,970.0797910008987,430.319587628866
1779873362,40,,Aggregated,0.000000,0.000000,240,250,350,390,860,920,960,970,970,970,970,97,0,240,273.2736323091886,57.82929199995124,970.0797910008987,430.319587628866
1779873363,50,,Aggregated,0.000000,0.000000,240,250,350,390,860,920,960,970,970,970,970,97,0,240,273.2736323091886,57.82929199995124,970.0797910008987,430.319587628866
1779873364,60,,Aggregated,0.000000,0.000000,240,250,350,390,860,920,960,970,970,970,970,97,0,240,273.2736323091886,57.82929199995124,970.0797910008987,430.319587628866
1779873365,70,,Aggregated,0.000000,0.000000,240,250,350,390,860,920,960,970,970,970,970,97,0,240,273.2736323091886,57.82929199995124,970.0797910008987,430.319587628866
1779873366,80,,Aggregated,19.400000,0.000000,250,410,920,1800,4600,5000,5100,5100,5200,5200,5200,130,0,250,1043.2911115382572,57.82929199995124,5165.054332999716,430.1923076923077
1779873367,90,,Aggregated,16.166667,0.000000,250,860,1200,1800,4600,5000,5100,5200,5700,5700,5700,136,0,250,1083.4178327351283,57.82929199995124,5672.037917000125,430.66911764705884
1779873368,100,,Aggregated,16.166667,0.000000,250,860,1200,1800,4600,5000,5100,5200,5700,5700,5700,136,0,250,1083.4178327351283,57.82929199995124,5672.037917000125,430.66911764705884
1779873369,100,,Aggregated,16.166667,0.000000,250,860,1200,1800,4600,5000,5100,5200,5700,5700,5700,136,0,250,1083.4178327351283,57.82929199995124,5672.037917000125,430.66911764705884
1779873370,100,,Aggregated,16.166667,0.000000,250,860,1200,1800,4600,5000,5100,5200,5700,5700,5700,136,0,250,1083.4178327351283,57.82929199995124,5672.037917000125,430.66911764705884
1779873371,100,,Aggregated,13.600000,0.000000,390,1200,3700,4700,6500,8400,9300,9300,9300,9300,9300,160,0,390,2037.9653020810335,57.82929199995124,9346.011916000862,430.23125
1779873372,100,,Aggregated,13.600000,0.000000,390,1200,3700,4700,6500,8400,9300,9300,9300,9300,9300,160,0,390,2037.9653020810335,57.82929199995124,9346.011916000862,430.23125
1779873373,100,,Aggregated,8.800000,0.000000,400,1800,4700,5100,7400,8400,9300,12000,12000,12000,12000,169,0,400,2334.520713011615,57.82929199995124,11945.203041999775,430.2189349112426
1779873374,100,,Aggregated,8.800000,0.000000,400,1800,4700,5100,7400,8400,9300,12000,12000,12000,12000,169,0,400,2334.520713011615,57.82929199995124,11945.203041999775,430.2189349112426
1779873375,100,,Aggregated,6.300000,0.000000,830,2700,5000,5700,7500,8400,9300,12000,12000,12000,12000,174,0,420,2484.7941573216403,57.82929199995124,11945.203041999775,430.1551724137931
1779873376,100,,Aggregated,7.200000,0.000000,1200,4700,5200,6400,9300,9400,9600,10000,12000,12000,12000,206,0,970,3102.7062768930364,57.82929199995124,11945.203041999775,429.63106796116506
1779873377,100,,Aggregated,7.200000,0.000000,1200,4700,5200,6400,9300,9400,9600,10000,12000,12000,12000,206,0,970,3102.7062768930364,57.82929199995124,11945.203041999775,429.63106796116506
1779873378,100,,Aggregated,7.600000,0.000000,2500,4800,6500,7600,9500,12000,12000,13000,17000,17000,17000,241,0,2500,3801.680184124286,57.82929199995124,17488.499249997403,429.4813278008299
